a_bin,e_bin,avg_delta_a,avg_delta_e
"(206.09789106716187, 228.56911106281524)","(0.7578947368421061, 0.8052631578947377)",0.6372635513649471,0.0006515747522836124
"(206.09789106716187, 228.56911106281524)","(0.8052631578947377, 0.8526315789473693)",18.012023223767358,0.009689638168918435
"(228.56911106281524, 251.04033105846864)","(0.8052631578947377, 0.8526315789473693)",11.816748061128024,0.0033117429001969234
"(251.04033105846864, 273.51155105412204)","(0.8052631578947377, 0.8526315789473693)",1.6984162756160306,0.0009622415268745188
"(251.04033105846864, 273.51155105412204)","(0.8526315789473693, 0.9000000000000009)",677.1050874120069,0.06384039347627962
"(273.51155105412204, 295.98277104977535)","(0.8052631578947377, 0.8526315789473693)",-0.42413453110746957,-0.00045790689391433936
"(273.51155105412204, 295.98277104977535)","(0.8526315789473693, 0.9000000000000009)",-110.67768389461853,-0.11041138735178796
"(295.98277104977535, 318.4539910454288)","(0.8052631578947377, 0.8526315789473693)",0.23343194721434202,0.00011834681335376462
"(295.98277104977535, 318.4539910454288)","(0.8526315789473693, 0.9000000000000009)",-206.713765631863,-0.25171433602184035
"(318.4539910454288, 340.9252110410822)","(0.8526315789473693, 0.9000000000000009)",-75.48987418834712,-0.039930624824634275
"(340.9252110410822, 363.3964310367355)","(0.8526315789473693, 0.9000000000000009)",-19.73794853532014,-0.011068793381556197
"(363.3964310367355, 385.86765103238895)","(0.8526315789473693, 0.9000000000000009)",19.467357058316452,0.004974704425934395
"(385.86765103238895, 408.33887102804226)","(0.8526315789473693, 0.9000000000000009)",-18.7900447051976,-0.005647747419836757
"(408.33887102804226, 430.8100910236957)","(0.8526315789473693, 0.9000000000000009)",17.915440205213542,0.003555367258969766
"(430.8100910236957, 453.281311019349)","(0.8526315789473693, 0.9000000000000009)",0.8820606468249821,7.60027209090186e-05
